# of genes	# of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	Go term name
17	312	0.57089	0.00002	0.04750	GO:1903037	regulation of leukocyte cell-cell adhesion
28	524	0.56973	0.00000	<0.00050	GO:0010563	negative regulation of phosphorus metabolic process
28	524	0.56973	0.00000	<0.00050	GO:0045936	negative regulation of phosphate metabolic process
21	389	0.56884	0.00000	0.00300	GO:0051249	regulation of lymphocyte activation
31	586	0.56782	0.00000	<0.00050	GO:0010638	positive regulation of organelle organization
23	430	0.56597	0.00000	0.00150	GO:0002253	activation of immune response
100	2279	0.56551	0.00000	<0.00050	GO:0032268	regulation of cellular protein metabolic process
21	392	0.56525	0.00000	0.00400	GO:0002683	negative regulation of immune system process
21	394	0.56287	0.00000	0.00400	GO:0022407	regulation of cell-cell adhesion
36	698	0.56084	0.00000	<0.00050	GO:0043207	response to external biotic stimulus
58	1187	0.56026	0.00000	<0.00050	GO:0003008	system process
60	1237	0.55918	0.00000	<0.00050	GO:0009605	response to external stimulus
19	359	0.55832	0.00001	0.02300	GO:0043254	regulation of protein complex assembly
44	875	0.55745	0.00000	<0.00050	GO:0002684	positive regulation of immune system process
19	360	0.55702	0.00001	0.02500	GO:2001233	regulation of apoptotic signaling pathway
33	641	0.55692	0.00000	<0.00050	GO:0010942	positive regulation of cell death
18	341	0.55656	0.00001	0.03800	GO:0098602	single organism cell adhesion
30	581	0.55542	0.00000	<0.00050	GO:0003006	developmental process involved in reproduction
30	581	0.55542	0.00000	<0.00050	GO:0043065	positive regulation of apoptotic process
20	381	0.55509	0.00000	0.01900	GO:0006644	phospholipid metabolic process
21	401	0.55463	0.00000	0.00950	GO:0042326	negative regulation of phosphorylation
19	362	0.55444	0.00001	0.02750	GO:0032388	positive regulation of intracellular transport
30	584	0.55299	0.00000	<0.00050	GO:1903827	regulation of cellular protein localization
20	383	0.55265	0.00001	0.01950	GO:0001819	positive regulation of cytokine production
19	364	0.55187	0.00001	0.02800	GO:0001933	negative regulation of protein phosphorylation
30	586	0.55137	0.00000	<0.00050	GO:0050778	positive regulation of immune response
30	587	0.55057	0.00000	<0.00050	GO:0043068	positive regulation of programmed cell death
124	3139	0.55009	0.00000	<0.00050	GO:0032501	multicellular organismal process
177	5446	0.54886	0.00000	<0.00050	GO:0048518	positive regulation of biological process
68	1463	0.54854	0.00000	<0.00050	GO:0032559	adenyl ribonucleotide binding
122	3082	0.54767	0.00000	<0.00050	GO:0044707	single-multicellular organism process
47	962	0.54702	0.00000	<0.00050	GO:0040011	locomotion
68	1471	0.54585	0.00000	<0.00050	GO:0030554	adenyl nucleotide binding
99	2339	0.54530	0.00000	<0.00050	GO:0036094	small molecule binding
103	2463	0.54526	0.00000	<0.00050	GO:0051246	regulation of protein metabolic process
25	493	0.54252	0.00000	0.00150	GO:0046982	protein heterodimerization activity
115	2870	0.54220	0.00000	<0.00050	GO:0009966	regulation of signal transduction
115	2883	0.53979	0.00000	<0.00050	GO:0010604	positive regulation of macromolecule metabolic process
56	1191	0.53909	0.00000	<0.00050	GO:0006811	ion transport
36	731	0.53890	0.00000	<0.00050	GO:0009607	response to biotic stimulus
29	581	0.53851	0.00000	0.00150	GO:0032386	regulation of intracellular transport
120	3070	0.53736	0.00000	<0.00050	GO:0065009	regulation of molecular function
27	542	0.53582	0.00000	0.00150	GO:0007346	regulation of mitotic cell cycle
32	651	0.53406	0.00000	<0.00050	GO:0008285	negative regulation of cell proliferation
86	2020	0.52911	0.00000	<0.00050	GO:0000166	nucleotide binding
86	2021	0.52886	0.00000	<0.00050	GO:1901265	nucleoside phosphate binding
217	8209	0.52621	0.00000	<0.00050	GO:0044237	cellular metabolic process
64	1428	0.52548	0.00000	<0.00050	GO:0005524	ATP binding
33	687	0.52411	0.00000	<0.00050	GO:0031329	regulation of cellular catabolic process
56	1230	0.52341	0.00000	<0.00050	GO:0046983	protein dimerization activity
33	694	0.51932	0.00000	<0.00050	GO:0010564	regulation of cell cycle process
58	1293	0.51856	0.00000	<0.00050	GO:0035556	intracellular signal transduction
39	832	0.51849	0.00000	<0.00050	GO:0019637	organophosphate metabolic process
37	787	0.51786	0.00000	<0.00050	GO:0019752	carboxylic acid metabolic process
69	1590	0.51587	0.00000	<0.00050	GO:0042802	identical protein binding
38	818	0.51318	0.00000	<0.00050	GO:0045321	leukocyte activation
101	2555	0.51276	0.00000	<0.00050	GO:0043168	anion binding
29	614	0.51249	0.00000	0.00150	GO:0040008	regulation of growth
52	1169	0.50747	0.00000	<0.00050	GO:0048513	organ development
55	1246	0.50718	0.00000	<0.00050	GO:0097458	neuron part
39	852	0.50717	0.00000	<0.00050	GO:0045597	positive regulation of cell differentiation
43	948	0.50696	0.00000	<0.00050	GO:0006952	defense response
29	623	0.50564	0.00000	0.00150	GO:0006915	apoptotic process
41	908	0.50271	0.00000	<0.00050	GO:0006082	organic acid metabolic process
219	8619	0.50128	0.00000	<0.00050	GO:0071704	organic substance metabolic process
35	768	0.50111	0.00000	<0.00050	GO:0050877	neurological system process
53	1215	0.49912	0.00000	<0.00050	GO:0051094	positive regulation of developmental process
124	3448	0.49863	0.00000	<0.00050	GO:0009893	positive regulation of metabolic process
200	7290	0.49740	0.00000	<0.00050	GO:0016020	membrane
46	1044	0.49624	0.00000	<0.00050	GO:0044092	negative regulation of molecular function
39	874	0.49502	0.00000	<0.00050	GO:0032403	protein complex binding
52	1200	0.49478	0.00000	<0.00050	GO:0051130	positive regulation of cellular component organization
59	1397	0.49027	0.00000	<0.00050	GO:0048585	negative regulation of response to stimulus
173	5743	0.49020	0.00000	<0.00050	GO:0044425	membrane part
97	2535	0.48983	0.00000	<0.00050	GO:0009892	negative regulation of metabolic process
235	10090	0.48949	0.00000	<0.00050	GO:0050789	regulation of biological process
148	4517	0.48890	0.00000	<0.00050	GO:0048519	negative regulation of biological process
25	556	0.48616	0.00000	0.01950	GO:0002274	myeloid leukocyte activation
51	1204	0.48265	0.00000	<0.00050	GO:0051704	multi-organism process
55	1330	0.47541	0.00000	<0.00050	GO:0044877	macromolecular complex binding
57	1385	0.47531	0.00000	<0.00050	GO:0033554	cellular response to stress
26	593	0.47510	0.00001	0.01950	GO:0001817	regulation of cytokine production
82	2120	0.47483	0.00000	<0.00050	GO:0097367	carbohydrate derivative binding
38	891	0.47249	0.00000	0.00050	GO:0043436	oxoacid metabolic process
133	4003	0.46949	0.00000	<0.00050	GO:0043169	cation binding
227	9609	0.46826	0.00000	<0.00050	GO:0050794	regulation of cellular process
43	1028	0.46815	0.00000	<0.00050	GO:0051726	regulation of cell cycle
25	578	0.46799	0.00001	0.02900	GO:0002263	cell activation involved in immune response
71	1813	0.46722	0.00000	<0.00050	GO:0032553	ribonucleotide binding
48	1164	0.46644	0.00000	<0.00050	GO:0006928	movement of cell or subcellular component
43	1033	0.46582	0.00000	<0.00050	GO:0051241	negative regulation of multicellular organismal process
72	1854	0.46424	0.00000	<0.00050	GO:0009891	positive regulation of biosynthetic process
87	2327	0.46399	0.00000	<0.00050	GO:0050793	regulation of developmental process
70	1799	0.46279	0.00000	<0.00050	GO:0032555	purine ribonucleotide binding
76	1985	0.46202	0.00000	<0.00050	GO:0016740	transferase activity
54	1340	0.46171	0.00000	<0.00050	GO:0042995	cell projection
69	1775	0.46111	0.00000	<0.00050	GO:0001882	nucleoside binding
70	1809	0.46002	0.00000	<0.00050	GO:0017076	purine nucleotide binding
32	764	0.45845	0.00000	0.00150	GO:0012501	programmed cell death
136	4228	0.45600	0.00000	<0.00050	GO:0048523	negative regulation of cellular process
70	1827	0.45506	0.00000	<0.00050	GO:0031328	positive regulation of cellular biosynthetic process
110	3191	0.45325	0.00000	<0.00050	GO:0044765	single-organism transport
33	800	0.45210	0.00000	0.00150	GO:0008219	cell death
33	800	0.45210	0.00000	0.00150	GO:0016265	death
51	1286	0.45069	0.00000	<0.00050	GO:0022414	reproductive process
48	1204	0.45012	0.00000	<0.00050	GO:0044711	single-organism biosynthetic process
67	1768	0.44605	0.00000	<0.00050	GO:0001883	purine nucleoside binding
84	2316	0.44447	0.00000	<0.00050	GO:0031324	negative regulation of cellular metabolic process
43	1081	0.44404	0.00000	0.00050	GO:0009968	negative regulation of signal transduction
70	1877	0.44153	0.00000	<0.00050	GO:0051173	positive regulation of nitrogen compound metabolic process
66	1756	0.44080	0.00000	<0.00050	GO:0035639	purine ribonucleoside triphosphate binding
99	2867	0.43853	0.00000	<0.00050	GO:0006464	cellular protein modification process
99	2867	0.43853	0.00000	<0.00050	GO:0036211	protein modification process
66	1765	0.43825	0.00000	<0.00050	GO:0032550	purine ribonucleoside binding
66	1768	0.43741	0.00000	<0.00050	GO:0032549	ribonucleoside binding
72	1959	0.43655	0.00000	<0.00050	GO:0002376	immune system process
66	1772	0.43628	0.00000	<0.00050	GO:0045935	positive regulation of nucleobase-containing compound metabolic process
56	1474	0.43506	0.00000	<0.00050	GO:1901564	organonitrogen compound metabolic process
61	1626	0.43427	0.00000	<0.00050	GO:0045595	regulation of cell differentiation
35	885	0.43387	0.00000	0.00250	GO:0002252	immune effector process
28	703	0.43154	0.00001	0.03750	GO:0048646	anatomical structure formation involved in morphogenesis
35	890	0.43120	0.00000	0.00300	GO:0005783	endoplasmic reticulum
29	730	0.43107	0.00001	0.02900	GO:0015075	ion transmembrane transporter activity
102	3021	0.43063	0.00000	<0.00050	GO:0043412	macromolecule modification
38	974	0.43007	0.00000	0.00150	GO:0044463	cell projection part
157	5438	0.42885	0.00000	<0.00050	GO:0080090	regulation of primary metabolic process
42	1089	0.42826	0.00000	0.00150	GO:0033043	regulation of organelle organization
30	763	0.42699	0.00001	0.02600	GO:0006812	cation transport
105	3159	0.42632	0.00000	<0.00050	GO:0044267	cellular protein metabolic process
34	873	0.42575	0.00000	0.00700	GO:0022857	transmembrane transporter activity
38	984	0.42520	0.00000	0.00150	GO:0046903	secretion
157	5494	0.42234	0.00000	<0.00050	GO:0031323	regulation of cellular metabolic process
31	798	0.42209	0.00001	0.02300	GO:0022891	substrate-specific transmembrane transporter activity
110	3391	0.42005	0.00000	<0.00050	GO:1902578	single-organism localization
30	775	0.41964	0.00001	0.03150	GO:0043086	negative regulation of catalytic activity
34	887	0.41821	0.00000	0.01000	GO:0005789	endoplasmic reticulum membrane
120	3811	0.41802	0.00000	<0.00050	GO:0019538	protein metabolic process
202	8239	0.41656	0.00000	<0.00050	GO:0044238	primary metabolic process
78	2241	0.41599	0.00000	<0.00050	GO:0051128	regulation of cellular component organization
64	1792	0.41313	0.00000	<0.00050	GO:2000026	regulation of multicellular organismal development
40	1072	0.41058	0.00000	0.00150	GO:0051248	negative regulation of protein metabolic process
168	6229	0.40611	0.00000	<0.00050	GO:0019222	regulation of metabolic process
32	854	0.40584	0.00001	0.03050	GO:0060284	regulation of cell development
54	1512	0.40270	0.00000	<0.00050	GO:0009056	catabolic process
89	2706	0.39985	0.00000	<0.00050	GO:0048856	anatomical structure development
41	1129	0.39849	0.00000	0.00250	GO:0044702	single organism reproductive process
42	1167	0.39505	0.00000	0.00250	GO:0030054	cell junction
135	4677	0.39046	0.00000	<0.00050	GO:0032502	developmental process
34	941	0.39019	0.00001	0.03450	GO:0022892	substrate-specific transporter activity
152	5538	0.38748	0.00000	<0.00050	GO:0097159	organic cyclic compound binding
36	1006	0.38721	0.00001	0.02500	GO:0032269	negative regulation of cellular protein metabolic process
115	3827	0.38445	0.00000	<0.00050	GO:0051234	establishment of localization
112	3707	0.38340	0.00000	<0.00050	GO:0006810	transport
117	3942	0.38020	0.00000	<0.00050	GO:0046872	metal ion binding
43	1242	0.37728	0.00000	0.00450	GO:0044432	endoplasmic reticulum part
39	1120	0.37665	0.00001	0.02150	GO:0006508	proteolysis
124	4303	0.37303	0.00000	<0.00050	GO:0044767	single-organism developmental process
45	1324	0.37011	0.00000	0.00400	GO:0005102	receptor binding
57	1721	0.36851	0.00000	0.00150	GO:0010557	positive regulation of macromolecule biosynthetic process
73	2287	0.36610	0.00000	<0.00050	GO:0010605	negative regulation of macromolecule metabolic process
206	9048	0.36532	0.00000	<0.00050	GO:0044444	cytoplasmic part
57	1733	0.36507	0.00000	0.00150	GO:0071702	organic substance transport
120	4190	0.36386	0.00000	<0.00050	GO:0051179	localization
145	5415	0.36012	0.00000	<0.00050	GO:0060255	regulation of macromolecule metabolic process
123	4360	0.35921	0.00000	<0.00050	GO:0031224	intrinsic component of membrane
46	1419	0.34803	0.00001	0.01950	GO:0010629	negative regulation of gene expression
67	2149	0.34798	0.00000	0.00150	GO:0016787	hydrolase activity
44	1356	0.34682	0.00001	0.02800	GO:0045934	negative regulation of nucleobase-containing compound metabolic process
117	4238	0.33862	0.00000	<0.00050	GO:0016021	integral component of membrane
142	5471	0.33575	0.00000	<0.00050	GO:1901363	heterocyclic compound binding
46	1470	0.33085	0.00001	0.04600	GO:0051172	negative regulation of nitrogen compound metabolic process
257	13772	0.31727	0.00000	0.00300	GO:0005488	binding
54	1851	0.30290	0.00002	0.04900	GO:0010628	positive regulation of gene expression
103	4009	0.28106	0.00000	0.00150	GO:0051171	regulation of nitrogen compound metabolic process
193	9049	0.27803	0.00000	0.00050	GO:0043227	membrane-bounded organelle
207	10094	0.27062	0.00000	0.00150	GO:0043226	organelle
100	3945	0.27036	0.00000	0.00150	GO:0009889	regulation of biosynthetic process
217	10883	0.26473	0.00000	0.00150	GO:0005515	protein binding
116	4767	0.26297	0.00000	0.00150	GO:0005829	cytosol
95	3767	0.26263	0.00000	0.00950	GO:0019219	regulation of nucleobase-containing compound metabolic process
96	3879	0.25298	0.00001	0.01950	GO:0031326	regulation of cellular biosynthetic process
